ACLE1;DESAPRES;;;;;;;;CODESSFAMILLE;CODEFAMILLE;CODEVENTILVT;POIDS
601135;A4 Etude;23/03/2016 12:26:43;Mors fixe attache fixe usiné Ø40;;;;;;N;601;4;
601134A;A1 Approuvé;23/03/2016 12:26:40;Peinture mors fixe attache fixe usiné Ø38;;;;;;N;601;4;
601134;A4 Etude;23/03/2016 12:26:40;Mors fixe attache fixe usiné Ø38;;;;;;N;601;4;
601133A;A1 Approuvé;23/03/2016 12:26:51;Peinture mors fixe attache fixe usiné Ø36;;;;;;N;601;4;
601133;A3 Etude;23/03/2016 12:26:51;Mors fixe attache fixe usiné Ø36;;;;;;N;601;4;
601132A;A1 Approuvé;23/03/2016 12:26:44;Peinture mors fixe attache fixe usiné Ø33;;;;;;N;601;4;
601132;A3 Etude;23/03/2016 12:26:44;Mors fixe attache fixe usiné Ø33;;;;;;N;601;4;
601131A;A2 Approuvé;23/03/2016 12:26:45;Peinture mors fixe attache fixe usiné Ø30;;;;;;N;601;4;
601130A;A1 Approuvé;23/03/2016 12:26:46;Peinture mors fixe attache fixe usiné Ø26;;;;;;N;601;4;
601130;A3 Etude;23/03/2016 12:26:46;Mors fixe attache fixe usiné Ø26;;;;;;N;601;4;5338
601126A;A1 Approuvé;23/03/2016 12:26:41;Peinture mors mobile attache fixe usiné Ø42;;;;;;N;601;4;
601125A;A1 Approuvé;23/03/2016 12:26:47;Peinture mors mobile attache fixe usiné Ø40;;;;;;N;601;4;
601125;A3 Etude;23/03/2016 12:26:46;Mors mobile attache fixe usiné Ø40;;;;;;N;601;4;
601124A;A1 Approuvé;23/03/2016 12:26:42;Peinture mors mobile attache fixe usiné Ø38;;;;;;N;601;4;
601124;A1 Approuvé;23/03/2016 12:26:41;Mors mobile attache fixe usiné Ø38;;;;;;N;601;4;3073
601123A;A1 Approuvé;23/03/2016 12:26:38;Peinture mors mobile attache fixe usiné Ø36;;;;;;N;601;4;
601123;A3 Etude;23/03/2016 12:26:38;Mors mobile attache fixe usiné Ø36;;;;;;N;601;4;
601122A;A1 Approuvé;23/03/2016 12:26:39;Peinture mors mobile attache fixe usiné Ø33;;;;;;N;601;4;
601122;A3 Etude;23/03/2016 12:26:39;Mors mobile attache fixe usiné Ø33;;;;;;N;601;4;
601121A;A1 Approuvé;23/03/2016 12:26:48;Peinture mors mobile attache fixe usiné Ø30;;;;;;N;601;4;
601120A;A1 Approuvé;23/03/2016 12:26:49;Peinture mors mobile attache fixe usiné Ø26;;;;;;N;601;4;
601120;A6 Approuvé;23/03/2016 12:26:49;Mors mobile attache fixe usiné Ø26;;;;;;N;601;4;3055
601136A;A1 Approuvé;23/03/2016 12:26:43;Peinture mors fixe attache fixe usiné Ø42;;;;;;N;601;4;
600455;A1 Approuvé;23/03/2016 12:26:49;Empilage calibré capicité normale;;;;;;N;600;3;
601108;A1 Approuvé;22/03/2016 09:40:47;Ensemble empilage calibré sur moyeu 2800 daN;;;;;;N;601;4;
601107;A1 Approuvé;23/03/2016 12:26:50;Ensemble empilage calibré sur moyeu capicité normale;;;;;;N;601;4;
820025;A1 Etude;23/03/2016 11:36:24;Axe comp. ou support poulie Ø500;;;;;;S;602;5;2482
601101;A2 Approuvé;22/03/2016 16:28:18;Ensemble attache fixe Haute Capacité;;;;;;N;601;4;
601100;A3 Approuvé;23/03/2016 12:26:53;Ensemble attache fixe 2200 daN;;;;;;N;601;4;
601117;A3 Vérifié;16/06/2014 15:44:56;Bol attache fixe Haute Capacité;;;;;;S;601;4;1300
601114;A3 Approuvé;23/03/2016 12:26:47;Bol attache fixe capacité normale;;;;;;S;601;4;1138
601113;A2 Approuvé;23/03/2016 12:26:42;Insert long attache fixe;;;;;;S;601;4;29
601112;A2 Approuvé;23/03/2016 12:26:45;Insert court attache fixe;;;;;;S;601;4;17
601106;A3 Approuvé;22/03/2016 09:45:53;Moyeu attache fixe Haute Capacité;;;;;;S;601;4;1213
601105;A4 Vérifié;16/06/2014 15:51:00;Moyeu attache fixe capacité normale;;;;;;S;601;4;1047
601104;A2 Approuvé;22/03/2016 16:30:54;Jonc d'arrêt attache fixe Haute Capacité;;;;;;N;601;4;
601115;A3 Approuvé;23/03/2016 12:26:50;Aiguille attache fixe 2200 - 2900;;;;;;S;601;4;
601103;A2 Approuvé;22/03/2016 16:30:02;Jonc d'arrêt attache fixe capacité normale;;;;;;N;601;4;
601116;A6 Approuvé;24/03/2016 14:50:13;Ecrou HK M24x2;;;;;;S;601;4;
600414;A4 Approuvé;22/03/2016 09:53:17;Empilage calibré Haute Capacité;;;;;;N;600;3;
820031;A4 Approuvé;18/06/2013 08:44:25;Axe S-C poulie Ø300-500 Ø45 type 2;;;;;;S;602;5;2.0
810014;A4 Etude;23/03/2016 12:26:24;Vis FHC M20 x 245-52;;;;;;S;601;4;624
810015;A4 Etude;23/03/2016 12:26:24;Vis FHC M16 x 175-40;;;;;;S;601;4;288
810016;A4 Etude;23/03/2016 12:26:24;Vis FHC M16 x 165-30;;;;;;S;601;4;272
602399;A3 Approuvé;22/03/2016 09:56:25;Embout supérieur de canne Type 2;;;;;;N;602;5;128
820033;A2 Approuvé;25/02/2014 08:39:32;Axe S ou C poulie Ø800-1000 à patte;;;;;;S;602;5;6.4
820034;A1 Approuvé;23/03/2016 11:38:55;Axe support poulie Ø1000;;;;;;S;602;5;5.0
820035;A2 Approuvé;23/03/2016 12:28:36;Axe S-C poulie Ø800-1000 type 2;;;;;;S;602;5;2.6
820039;A1 Etude;23/03/2016 11:37:47;Axe compression poulie Ø1500;;;;;;N;602;5;
820040;A2 Approuvé;18/06/2013 08:45:11;Axe support poulie Ø1500;;;;;;S;602;5;13.1
820041;A2 Approuvé;18/06/2013 08:45:23;Axe poulie retour Ø2000;;;;;;S;602;5;12.5
820026;A1 Etude;27/03/2013 16:07:05;Rondelle Ø25 x 2;;;;;;N;602;5;27
810017;A1 Approuvé;23/03/2016 11:19:13;Outillage de montage attache fixe;;;;;;N;601;4;
820027;A1 Etude;27/03/2013 16:07:05;Rondelle Ø20 x4;;;;;;N;602;5;46
820028;A1 Etude;23/03/2016 11:36:48;Anneau d'arrêt Ø18;;;;;;N;602;5;
820029;A1 Etude;27/03/2013 16:07:06;Ecrou M20 épaulé;;;;;;S;602;5;76
820030;A1 Etude;27/03/2013 16:07:06;Ecrou M20 alésé;;;;;;S;602;5;55
820032;A1 Etude;23/03/2016 11:37:26;Plaquette d'arrêt Ø21;;;;;;N;602;5;
820036;A1 Approuvé;27/03/2013 16:07:07;Rondelle Ø35 x2;;;;;;N;602;5;49
820037;A1 Etude;23/03/2016 11:38:56;Rondelle Ø27;;;;;;N;602;5;55
820038;A2 Approuvé;11/04/2013 10:06:54;Ecrou HK M27x3;;;;;;S;602;5;191
test;A1 Etude;23/03/2016 12:31:55;;;;;;;N;;;
810018;A2 Approuvé;23/03/2016 11:19:42;Axe d'articulation garde corps;;;;;;S;601;4;112
820020;A1 Etude;23/03/2016 11:36:23;support de tube pour graissage;;;;;;N;602;5;
820019;A1 Etude;23/03/2016 11:30:52;Pion de vérrouillage;;;;;;N;602;5;
820010;A1 Etude;23/03/2016 11:30:51;Charnière 2 outillage de centrage de joint;;;;;;N;602;5;
820009;A1 Etude;23/03/2016 11:30:50;Charnière 1 outillage de centrage de joint ;;;;;;N;602;5;
820008;A1 Etude;23/03/2016 11:30:49;Mord 2 outillage de centrage de joint;;;;;;N;602;5;
820007;A1 Etude;23/03/2016 11:30:47;Mord 1outillage de centrage de joint;;;;;;N;602;5;
820014;A1 Etude;23/03/2016 11:30:54;ensemble outillage de centrage de joint;;;;;;N;602;5;
820011;A4 Etude;23/03/2016 11:33:50;V de montage de perche;;;;;;N;602;5;
820012;A2 Etude;23/03/2016 11:34:11;petit V de montage de perche;;;;;;N;602;5;
820006;A1 Approuvé;23/03/2016 11:28:15;plaque de base outillage de fixation de perche;;;;;;N;602;5;
820005;A2 Approuvé;23/03/2016 11:30:41;Axe outillage de fixation de perche;;;;;;N;602;5;78
820004;A1 Approuvé;23/03/2016 11:30:40;820004;;;;;;N;602;5;
820003;A1 Approuvé;23/03/2016 11:30:39;820003;;;;;;N;602;5;
820013;A2 Etude;23/03/2016 11:34:37;ensemble outillage de fixation de perche;;;;;;N;602;5;
820023;A1 Etude;23/03/2016 11:36:19;820023;;;;;;N;602;5;
820022;A1 Etude;23/03/2016 11:36:18;820022;;;;;;N;602;5;
820021;A1 Etude;23/03/2016 11:36:17;embout à sertir;;;;;;N;602;5;
820024;A1 Etude;23/03/2016 11:36:22;ensemble outillage de sertissage des ressorts;;;;;;N;602;5;
820000;A1 Etude;23/03/2016 11:28:19;cadre inférieur support ressort sur rollis;;;;;;N;602;5;
820047;A4 Approuvé;18/06/2013 08:45:40;Axe S ou C poulie Ø300-500;;;;;;S;602;5;2.0
820048;A1 Approuvé;23/03/2016 11:38:58;Axe S ou C poulie Ø800-1000;;;;;;S;602;5;5.9
820002;A1 Etude;23/03/2016 11:28:23;Montant H700;;;;;;N;602;5;
820001;A1 Etude;23/03/2016 11:28:21;cadre supérieur support ressort sur rollis;;;;;;N;602;5;
820049;A3 Approuvé;18/06/2013 08:45:54;Axe S ou C poulie Ø1500;;;;;;S;602;5;13.3
820050;A1 Etude;23/03/2016 11:40:09;Montant H700;;;;;;N;602;5;
810019;A1 Etude;23/03/2016 11:19:45;Kit GI Véhicule 4 places + suspente;;;;;;N;601;4;
820054;A1 Etude;23/03/2016 11:40:29;Axe S/C poulie Ø500;;;;;;N;602;5;
820055;A1 Etude;23/03/2016 11:40:50;Axe S/C poulie Ø800 et Ø1000;;;;;;N;602;5;
820043;A1 Approuvé;23/03/2016 11:39:05;Kit montage poulie S 800 -1000 axe remplacé;;;;;;N;602;5;6610
820044;A1 Approuvé;27/03/2013 16:07:15;Kit montage poulie S 1500 axe remplacé;;;;;;N;602;5;14397
820045;A4 Approuvé;27/03/2013 16:07:15;Kit montage poulie S 300-500 axe remplacé;;;;;;N;602;5;2445
602381;A6 Approuvé;23/03/2016 12:29:30;Ressort de compression canne L2000 & L2500;;;;;;N;602;5;202
602380;A2 Approuvé;27/03/2013 16:27:16;Ressort de compression canne L1500;;;;;;N;602;5;91
820046;A1 Approuvé;23/03/2016 11:39:09;Kit visserie Compression Type 2;;;;;;N;602;5;8486
Test P1;A1 Approuvé;23/03/2016 12:31:55;azerty;;;;;;N;;;
820064;A2 Approuvé;27/03/2013 16:07:16;Bride support carré de 30;;;;;;N;602;5;457
820065;A2 Approuvé;23/03/2016 11:39:07;Bride support carré de 40;;;;;;N;602;5;508
820066;A3 Approuvé;27/03/2013 16:07:17;Bride support carré de 60;;;;;;N;602;5;0.9
820067;A1 Approuvé;27/03/2013 16:07:18;Etrier M16 pour tube Ø168;;;;;;N;602;5;903
820069;A1 Approuvé;27/03/2013 16:07:19;Etrier M12 pour tube carré 100;;;;;;N;602;5;349
820042;A1 Approuvé;27/03/2013 16:07:19;Kit visserie S-C de 89 à 97 type 1;;;;;;N;602;5;5834
810021;A1 Etude;23/03/2016 11:20:20;Flasque balancier 2C;;;;;;S;601;4;9452
820072;A1 Approuvé;23/03/2016 11:31:01;Plat d'étrier M12;;;;;;N;602;5;213
820071;A2 Approuvé;23/03/2016 11:31:00;Etrier M12 Ø60 int.;;;;;;N;602;5;240
810022;A1 Etude;23/03/2016 11:22:08;U garde corps;;;;;;N;601;4;242
810023;A1 Etude;23/03/2016 11:22:09;Noix simple serrage;;;;;;N;601;4;368
810030;A1 Etude;23/03/2016 11:22:51;Etrier M12 Ø66 int;;;;;;N;601;4;193
810024;A1 Etude;23/03/2016 12:30:02;Axe 8C Ø450 sous portique;;;;;;N;601;4;45.7
810028;A1 Etude;23/03/2016 11:22:12;Noix double serrage;;;;;;N;601;4;362
810025;A1 Etude;23/03/2016 12:30:01;Axe 4 dans 12C;;;;;;S;601;4;13.8
810026;A4 Approuvé;23/03/2016 12:30:02;Axe 4 dans 8C galet Ø450.;;;;;;S;601;4;16.4
810029;A1 Etude;23/03/2016 11:22:14;Ens. U garde-corps double serrage;;;;;;N;601;4;1032
810027;A1 Etude;23/03/2016 11:22:11;Ens. U garde corps simple serrage;;;;;;N;601;4;1030
810031;A3 Approuvé;11/03/2014 18:43:16;Etrier M12 119 H175;;;;;;N;601;4;358
810032;A3 Approuvé;24/03/2016 15:22:27;Etrier M12 Ø90 h135,5;;;;;;N;601;4;268
820051;A1 Approuvé;23/03/2016 12:31:42;Rondelle Ø35 ép.3;;;;;;S;602;5;75
820052;A1 Approuvé;27/03/2013 16:07:21;Rondelle Ø55;;;;;;S;602;5;132
820053;A1 Approuvé;24/03/2016 15:00:01;Rondelle Ø25;;;;;;N;602;5;44
820056;A2 Approuvé;27/03/2013 16:07:22;Rondelle Ø20 x3;;;;;;N;602;5;35
820060;A3 Approuvé;27/03/2013 16:07:22;Kit montage poulie retour 2000  (Rlt 30216-32212);;;;;;N;602;5;90
Poulie téléski Ø1500;A1 Approuvé;23/03/2016 12:28:20;Poulie téléski Ø1500;;;;;;N;;;0
820077;A2 Approuvé;18/06/2013 12:00:16;Ecrou à créneau M60 x 2;;;;;;S;602;5;1.1
601506;A4 Approuvé;14/05/2013 17:15:32;Axe de balancier Axe 8S Ø330;;;;;;S;601;4;6.3
601507;A2 Approuvé;14/05/2013 17:15:47;Axe de balancier Axe 2-6S Ø330;;;;;;S;601;4;3.8
601508;A5 Approuvé;23/03/2016 12:27:00;Axe de balancier Axe 4S Ø330;;;;;;S;601;4;9.1
601509;A2 Etude;05/08/2013 15:06:11;Axe de balancier Axe 12S Ø330;;;;;;S;601;4;6267
601511;A6 Approuvé;08/01/2015 17:12:50;Axe principal de balancier 12/16C Ø330 type 2;;;;;;S;601;4;37417
820078;A1 Etude;27/03/2013 16:07:23;Ens. Bride support carré de 30 P500;;;;;;N;602;5;1639
601512;A3 Etude;23/01/2015 12:25:39;Axe de balancier Axe 6/12C Ø330;;;;;;S;601;4;6267
601513;A4 Approuvé;08/01/2015 17:12:51;Axe B8 12C-16C Ø330 type 2;;;;;;S;601;4;10675
820079;A1 Etude;27/03/2013 16:07:23;Ens. Bride support carré de 40 P1000;;;;;;N;602;5;3111
820080;A1 Etude;27/03/2013 16:07:24;Ens.Bride support carré de 60 P1500;;;;;;N;602;5;6467
810044;A2 Approuvé;23/03/2016 12:27:48;Rondelle d'arret axe 6 ou 8S / potence;;;;;;N;601;4;1217
820081;A1 Etude;27/03/2013 16:07:25;Etrier assemblée sur tubes;;;;;;N;602;5;716
820082;A1 Approuvé;23/03/2016 11:42:00;Etrier M12 Ø113 int.;;;;;;N;602;5;406
820083;A1 Approuvé;23/03/2016 11:42:02;Plat d'étrier M12;;;;;;N;602;5;331
820084;A1 Etude;23/03/2016 11:42:04;Ens. Etrier M12 Ø113;;;;;;N;602;5;1083
820085;A1 Etude;23/03/2016 11:41:59;Tendeur articulé ;;;;;;N;602;5;1352
820086;A1 Etude;23/03/2016 11:41:58;Chape d'orientation ;;;;;;N;602;5;1146
820087;A1 Etude;23/03/2016 11:41:57;Tendeur symétrique;;;;;;N;602;5;1274
810065;A1 Approuvé;27/03/2013 17:47:07;U garde -corps;;;;;;N;601;4;396
602612;A1 Etude;23/03/2016 11:07:59;Axe de poulie Type 1 Ø43 L=280mm;;;;;;N;602;5;
602611;A1 Etude;23/03/2016 11:08:00;Axe de poulie Type 1 Ø43 L=305mm;;;;;;N;602;5;
602610;A4 Etude;17/03/2016 17:54:36;Axe poulie Ø40 x 465 type 3;;;;;;S;602;5;6.7
602609;A4 Etude;17/03/2016 17:53:53;Axe poulie Ø45 x 465 type 3;;;;;;S;602;5;8.1
602608;A1 Etude;23/03/2016 11:06:25;Axe de poulie Type 1 Ø55 L=518;;;;;;N;602;5;
602606;A1 Etude;23/03/2016 11:05:50;Axe de poulie Type 2 Ø35 avec plaque;;;;;;N;602;5;
602605;A1 Etude;23/03/2016 11:05:24;Plaque d'appui pour axe de poulie;;;;;;N;602;5;
602604;A1 Etude;23/03/2016 11:05:25;Axe de poulie Type 2 Ø35;;;;;;N;602;5;
602603;A1 Etude;23/03/2016 11:05:22;Axe de poulie Type 2 Ø35;;;;;;N;602;5;
602602;A4 Etude;23/03/2016 12:31:52;Axe poulie Ø45 x 540 type 3;;;;;;S;602;5;9.5
602601;A4 Etude;17/03/2016 17:53:51;Axe poulie Ø600-1000 Type 3;;;;;;S;602;5;7.4
602600;A4 Etude;17/03/2016 17:48:06;Axe poulie d'angle Ø1300 type 3 court;;;;;;S;602;5;9.7
820089;A1 Approuvé;27/03/2013 16:07:28;Kit axe S ou C poulie Ø500;;;;;;N;602;5;2636
602145;A4 Approuvé;09/04/2015 09:49:27;Support de douille pour cable 18 droite;;;;;;N;602;5;421.93
602144;A3 Approuvé;28/11/2013 09:35:03;Support de douille pour cable 14 & 16 gauche;;;;;;N;602;5;429.20
602143;A3 Approuvé;28/11/2013 09:34:31;Support de douille pour cable 14 & 16 droite;;;;;;N;602;5;429.21
602142;A3 Approuvé;09/04/2015 09:47:48;Support de douille pour cable 10 & 12 gauche;;;;;;N;602;5;416
602141;A3 Approuvé;09/04/2015 09:42:07;Support de douille pour cable 10 & 12 droite;;;;;;N;602;5;416.19
602146;A4 Approuvé;09/04/2015 09:51:03;Support de douille pour cable 18 gauche;;;;;;N;602;5;421.92
820090;A2 Approuvé;27/03/2013 16:07:28;Kit axe S ou C poulie 800/1000;;;;;;N;602;5;6.9
820091;A1 Approuvé;27/03/2013 16:07:29;Kit axe S ou C poulie Ø1500;;;;;;N;602;5;14616
810040;A1 Approuvé;23/03/2016 11:23:17;Vis FHC M20 x 250/35;;;;;;S;601;4;624
820095;A3 Approuvé;18/06/2013 08:46:15;Axe entrée de gare type 3;;;;;;S;602;5;9.8
820093;A1 Approuvé;27/03/2013 16:07:30;Kit visserie S-C avant 89 type 1;;;;;;N;602;5;6281
820092;A1 Approuvé;27/03/2013 16:07:30;Kit visserie S/C type 2;;;;;;N;602;5;5305
820096;A1 Approuvé;27/03/2013 16:07:31;Kit axe Ø500 S/C;;;;;;N;602;5;1954
820097;A1 Approuvé;27/03/2013 16:07:31;Kit axe Ø800-1000 S/C;;;;;;N;602;5;2592
820098;A1 Approuvé;27/03/2013 16:07:32;Kit axe poulie retour;;;;;;N;602;5;12543
810067;A2 Etude;23/03/2016 12:29:52;Etrier axe Ø45;;;;;;N;601;4;213
810068;A3 Approuvé;11/03/2014 18:43:36;Etrier M12 77 H140;;;;;;N;601;4;275
820099;A3 Approuvé;18/06/2013 08:46:27;Axe poulie d'angle Ø1300 type 3 long;;;;;;S;602;5;10.4
810069;A1 Approuvé;23/03/2016 11:23:44;Plaquette d'arrêt de galet;;;;;;N;601;4;40
810070;A1 Etude;27/03/2013 17:28:33;Plaquette d'arrêt axe de 6/8S dans potence;;;;;;N;601;4;10
820104;A2 Approuvé;27/03/2013 16:07:32;Tige d'ancrage de ligne M39 L1000;;;;;;N;602;5;9434
820103;A1 Approuvé;27/03/2013 16:07:33;Plaque d'ancrage de ligne Ø200 Ø41 ép25;;;;;;N;602;5;5944
820102;A2 Approuvé;14/08/2013 16:59:52;Plaque d'ancrage de ligne 120x95 ép20;;;;;;N;602;5;2067
820105;A2 Approuvé;14/08/2013 17:01:47;Ensemble ancrage de ligne M39 L1000;;;;;;N;602;5;19657
820106;A1 Etude;27/03/2013 16:07:34;Axe S poulie ø300 déporté;;;;;;S;602;5;1925
820107;A1 Approuvé;27/03/2013 16:07:35;Ecrou d'axe M30 de poulie d'angle;;;;;;S;602;5;585
820108;A1 Approuvé;27/03/2013 16:07:36;Kit montage poulie angle 1000 axe remplacé;;;;;;N;602;5;7109
820120;A1 Approuvé;27/03/2013 16:07:37;Kit visserie support type 2 - M16;;;;;;N;602;5;2380
820109;A1 Approuvé;27/03/2013 16:07:37;Kit visserie S ou C Type 3;;;;;;N;602;5;17485
820110;A1 Approuvé;27/03/2013 16:07:38;Kit visserie S/C Type 3;;;;;;N;602;5;9656
820111;A2 Approuvé;25/09/2013 14:22:19;Kit montage poulie Ø600-1000 Rlt 30208 type 3.;;;;;;N;602;5;9
820122;A1 Etude;27/03/2013 16:07:38;Poulie tension Ø600;;;;;;N;602;5;15195
820123;A2 Approuvé;18/06/2013 12:00:56;Axe poulie retour Ø1500;;;;;;S;602;5;3.9
820125;A2 Approuvé;18/06/2013 12:01:34;Ecrou à créneau M35 x 1,5;;;;;;S;602;5;0.2
820124;A1 Etude;27/03/2013 16:07:40;Kit montage poulie retour Ø1500;;;;;;N;602;5;5266
820131;A1 Approuvé;27/03/2013 16:07:41;Gousset poulie orientable;;;;;;N;602;5;213
820130;A1 Approuvé;27/03/2013 16:07:41;Plaque support d'axe orientable;;;;;;N;602;5;479
820136;A2 Approuvé;27/03/2013 16:07:42;Ensemble ancrage de ligne M45 L1500;;;;;;N;602;5;28623
820133;A5 Approuvé;27/03/2013 16:07:42;Tige d'ancrage de ligne M45 L1500;;;;;;N;602;5;9434
820134;A2 Approuvé;27/03/2013 16:07:43;Plaque d'ancrage de ligne Ø180 Ø47 ép35;;;;;;N;602;5;6556
820135;A2 Approuvé;26/10/2013 09:07:16;Plaque d'ancrage de ligne pour M45;;;;;;N;602;5;1.8
820137;A1 Approuvé;27/03/2013 16:07:44;Gabarits gares motrice aval;;;;;;N;602;5;74040
820138;A1 Approuvé;27/03/2013 16:07:44;Gabarits gares motrice amont;;;;;;N;602;5;135078
820140;A1 Approuvé;27/03/2013 16:07:44;Tendeur articulé M20 x 150;;;;;;N;602;5;476
810071;A1 Approuvé;27/03/2013 17:47:07;Entretoise pour volant de poulie débrayable;;;;;;N;601;4;12
810072;A1 Approuvé;27/03/2013 17:47:07;Bague de centrage poulie débrayable;;;;;;N;601;4;5
820141;A4 Approuvé;18/06/2013 08:46:50;Axe poulie d'angle oscillante Ø1500;;;;;;S;602;5;5.7
820142;A2 Approuvé;18/06/2013 08:46:58;Axe poulie d'angle Ø1500;;;;;;S;602;5;13.1
810073;A2 Approuvé;08/01/2014 15:42:49;Axe chaine de tension;;;;;;S;601;4;5.1
601361;A1 Approuvé;27/03/2013 15:45:38;Poulie à gorges;;;;;;N;601;4;
601362;A1 Approuvé;27/03/2013 15:45:39;Cylindre de poulie débrayable;;;;;;N;601;4;
601384;A1 Approuvé;27/03/2013 15:45:39;Moyeu poulie débrayable;;;;;;N;601;4;
601365;A2 Approuvé;27/03/2013 15:45:40;Volant poulie débrayable;;;;;;N;601;4;2248
820121;A1 Etude;27/03/2013 16:07:45;Pylone P1 ou P2;;;;;;N;602;5;917380
601374;A3 Approuvé;23/03/2016 09:29:12;Bride de liaison joint de cardan / poulie débrayable;;;;;;N;601;4;
601360;A1 Approuvé;27/03/2013 15:45:41;Flasque de poulie débrayable;;;;;;N;601;4;
810074;A1 Approuvé;27/03/2013 17:47:08;Axe système de tension;;;;;;N;601;4;3110
820143;A1 Approuvé;27/03/2013 16:07:46;Gabarit gare motrice amont TK MINI;;;;;;N;602;5;74040
820144;A1 Approuvé;27/03/2013 16:07:47;Gabarit gare motrice aval TK MINI;;;;;;N;602;5;74040
820132;A1 Approuvé;27/03/2013 16:07:47;Plat pour potence;;;;;;N;602;5;294
820145;A1 Approuvé;27/03/2013 16:07:48;Ensemble support axe de poulie orientable;;;;;;N;602;5;6695
810075;A1 Approuvé;27/03/2013 17:23:36;Poutre 1;;;;;;S;601;4;273293
810077;A1 Approuvé;27/03/2013 17:23:36;Traverse arrière;;;;;;S;601;4;70317
810076;A1 Approuvé;27/03/2013 17:23:37;Fut rapporté;;;;;;S;601;4;71760
820150;A1 Approuvé;27/03/2013 16:07:48;Tige fileté M27;;;;;;N;602;5;1807
820151;A4 Approuvé;18/06/2013 08:47:10;Axe bras oscillant d'angle;;;;;;S;602;5;1.2
820152;A1 Approuvé;27/03/2013 16:07:49;Ecrou HK M20 x 2;;;;;;S;602;5;85
810080;A1 Approuvé;12/07/2013 11:27:19;Entretoise d'axe de balancier;;;;;;N;601;4;541
810081;A2 Approuvé;12/07/2013 11:27:19;Demi-entretoise d'axe de balancier;;;;;;N;601;4;534
820153;A1 Approuvé;27/03/2013 16:07:50;Kit montage poulie angle 1500 axe remplacé;;;;;;N;602;5;14644
601614;A2 Approuvé;12/07/2013 11:27:20;Axe de balancier Ø40 x 320;;;;;;N;601;4;2342.43
601615;A2 Approuvé;12/07/2013 11:27:20;Axe de balancier Ø50;;;;;;S;601;4;4058
601613;A2 Approuvé;12/07/2013 11:27:21;Axe de balancier Ø60 x 1000;;;;;;S;601;4;15125
810082;A3 Approuvé;27/03/2013 17:23:37;Gabarits gares motrice AR;;;;;;N;601;4;184980
810083;A2 Approuvé;27/03/2013 17:23:38;Gabarit station retour;;;;;;N;601;4;131865
820156;A1 Approuvé;23/03/2016 11:39:01;Bague épaulée Ø int 27;;;;;;N;602;5;126
820161;A1 Approuvé;27/03/2013 16:07:51;Ensemble ancrage de ligne M52 L1500;;;;;;N;602;5;38809
820158;A1 Approuvé;27/03/2013 16:07:51;Tige d'ancrage de ligne M52 L1500;;;;;;N;602;5;25161
820160;A1 Approuvé;27/03/2013 16:07:52;Plaque d'ancrage de ligne 120x120 ép20;;;;;;N;602;5;2067
820159;A1 Approuvé;27/03/2013 16:07:52;Plaque d'ancrage de ligne Ø200 Ø54 ép30;;;;;;N;602;5;6903
